Name,Characteristic Type,Description
AK - Alaska,State License,Licensed to practice in the state of Alaska
AL - Alabama,State License,Licensed to practice in the state of Alabama
AR - Arkansas,State License,Licensed to practice in the state of Arkansas
AZ - Arizona,State License,Licensed to practice in the state of Arizona
CA - California,State License,Licensed to practice in the state of California
CO - Colorado,State License,Licensed to practice in the state of Colorado
CT - Connecticut,State License,Licensed to practice in the state of Connecticut
DC - District of Columbia,State License,Licensed to practice in the District of Columbia
DE - Delaware,State License,Licensed to practice in the state of Delaware
FL - Florida,State License,Licensed to practice in the state of Florida
GA - Georgia,State License,Licensed to practice in the state of Georgia
HI - Hawaii,State License,Licensed to practice in the state of Hawaii
IA - Iowa,State License,Licensed to practice in the state of Iowa
ID - Idaho,State License,Licensed to practice in the state of Idaho
IL - Illinois,State License,Licensed to practice in the state of Illinois
IN - Indiana,State License,Licensed to practice in the state of Indiana
KS - Kansas,State License,Licensed to practice in the state of Kansas
KY - Kentucky,State License,Licensed to practice in the state of Kentucky
LA - Louisiana,State License,Licensed to practice in the state of Louisiana
MA - Massachusetts,State License,Licensed to practice in the state of Massachusetts
MD - Maryland,State License,Licensed to practice in the state of Maryland
ME - Maine,State License,Licensed to practice in the state of Maine
MI - Michigan,State License,Licensed to practice in the state of Michigan
MN - Minnesota,State License,Licensed to practice in the state of Minnesota
MO - Missouri,State License,Licensed to practice in the state of Missouri
MS - Mississippi,State License,Licensed to practice in the state of Mississippi
MT - Montana,State License,Licensed to practice in the state of Montana
NC - North Carolina,State License,Licensed to practice in the state of North Carolina
ND - North Dakota,State License,Licensed to practice in the state of North Dakota
NE - Nebraska,State License,Licensed to practice in the state of Nebraska
NH - New Hampshire,State License,Licensed to practice in the state of New Hampshire
NJ - New Jersey,State License,Licensed to practice in the state of New Jersey
NM - New Mexico,State License,Licensed to practice in the state of New Mexico
NV - Nevada,State License,Licensed to practice in the state of Nevada
NY - New York,State License,Licensed to practice in the state of New York
OH - Ohio,State License,Licensed to practice in the state of Ohio
OK - Oklahoma,State License,Licensed to practice in the state of Oklahoma
OR - Oregon,State License,Licensed to practice in the state of Oregon
PA - Pennsylvania,State License,Licensed to practice in the state of Pennsylvania
PR - Puerto Rico,State License,Licensed to practice in Puerto Rico
RI - Rhode Island,State License,Licensed to practice in the state of Rhode Island
SC - South Carolina,State License,Licensed to practice in the state of South Carolina
SD - South Dakota,State License,Licensed to practice in the state of South Dakota
TN - Tennessee,State License,Licensed to practice in the state of Tennessee
TX - Texas,State License,Licensed to practice in the state of Texas
UT - Utah,State License,Licensed to practice in the state of Utah
VA - Virginia,State License,Licensed to practice in the state of Virginia
VT - Vermont,State License,Licensed to practice in the state of Vermont
WA - Washington,State License,Licensed to practice in the state of Washington
WI - Wisconsin,State License,Licensed to practice in the state of Wisconsin
WV - West Virginia,State License,Licensed to practice in the state of West Virginia
WY - Wyoming,State License,Licensed to practice in the state of Wyoming
